row_in_page,MSA/County,Active In-State Texas Attorneys2 (12-31-16),Texas Population3 (07-01-16),Ratio of Attorneys to Population,Attorneys as a Percent of Total In-State Attorneys4,Population as a Percent of Total Texas Population4,docu_name,page_number,potential_counties_detected,Active In-State Texas Attorneys (12-31-16),Texas Population (07-01-16),Attorneys as a Percent of Total In-State Attorneys,Population as a Percent of Total Texas Population,Active In-State Texas Attorneys2,Attorneys as a Percent of Total In-State Texas Attorneys4,MSA,County,Texas Attorneys2,Population3,Texas Attorneys (12-31-11),Population (07-01-11),Texas Attorneys Percent of Total,Population Percent of Total,Texas Attorneys2 (12-31-11),Population3 (07-01-11),Percent of Total In-State Attorneys4,Percent of Total Texas Population4,Percent of Total In-State Attorneys,Percent of Total Texas Population,Attorneys2 (12-31-11),Ratio of Texas Attorneys to Population,Texas Attorneys Percent of Total In-State Attorneys4,Population Percent of Total Texas Population4,Population Percent of Total In-State Attorneys4,Texas Attorneys,Texas Population
31,.Harris County,,,1:194,,,AttorneyPopulationDensity2016-17.pdf,5,36,"23,602","4,589,928",26.41%,16.47%,,,,,,,,,,,,,,,,,,,,,,,
32,.Liberty County,,,"1:1,135",,,AttorneyPopulationDensity2016-17.pdf,5,36,72,"81,704",0.08%,0.29%,,,,,,,,,,,,,,,,,,,,,,,
33,.Montgomery County,,,1:372,,,AttorneyPopulationDensity2016-17.pdf,5,36,"1,496","556,203",1.67%,2.00%,,,,,,,,,,,,,,,,,,,,,,,
34,.Waller County,,,1:911,,,AttorneyPopulationDensity2016-17.pdf,5,36,55,"50,115",0.06%,0.18%,,,,,,,,,,,,,,,,,,,,,,,
0,.Bell County,,"340,411",1:981,,1.22%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,347,0.39%,,,,,,,,,,,,,,,,,,,,,
1,.Coryell County,,"74,686","1:2,134",,0.27%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,35,0.04%,,,,,,,,,,,,,,,,,,,,,
2,.Lampasas County,,"20,760","1:1,093",,0.07%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,19,0.02%,,,,,,,,,,,,,,,,,,,,,
3,.Webb County,,"271,193",1:779,,0.97%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,348,0.39%,,,,,,,,,,,,,,,,,,,,,
4,.Gregg County,,"123,745",1:419,,0.44%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,295,0.33%,,,,,,,,,,,,,,,,,,,,,
5,.Rusk County,,"52,732","1:1,648",,0.19%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,32,0.04%,,,,,,,,,,,,,,,,,,,,,
6,.Upshur County,,"40,969","1:1,171",,0.15%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,35,0.04%,,,,,,,,,,,,,,,,,,,,,
7,.Crosby County,,"5,992","1:1,198",,0.02%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,5,0.01%,,,,,,,,,,,,,,,,,,,,,
8,.Lubbock County,,"303,137",1:375,,1.09%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,808,0.90%,,,,,,,,,,,,,,,,,,,,,
9,.Hidalgo County,,"849,843",1:803,,3.05%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,"1,058",1.18%,,,,,,,,,,,,,,,,,,,,,
10,Martin County,,"5,723","1:2,862",,0.02%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,2,0.00%,,,,,,,,,,,,,,,,,,,,,
11,.Midland County,,"162,565",1:329,,0.58%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,494,0.55%,,,,,,,,,,,,,,,,,,,,,
12,.Ector County,,"157,462",1:842,,0.57%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,187,0.21%,,,,,,,,,,,,,,,,,,,,,
13,.Irion County,,"1,557","1:1,557",,0.01%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,1,0.00%,,,,,,,,,,,,,,,,,,,,,
14,.Tom Green County,,"118,386",1:598,,0.42%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,198,0.22%,,,,,,,,,,,,,,,,,,,,,
15,.Atascosa County,,"48,797","1:1,251",,0.18%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,39,0.04%,,,,,,,,,,,,,,,,,,,,,
16,.Bandera County,,"21,776",1:726,,0.08%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,30,0.03%,,,,,,,,,,,,,,,,,,,,,
17,.Bexar County,,"1,928,680",1:316,,6.92%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,"6,109",6.84%,,,,,,,,,,,,,,,,,,,,,
18,.Comal County,,"134,788",1:457,,0.48%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,295,0.33%,,,,,,,,,,,,,,,,,,,,,
19,.Guadalupe County,,"155,265","1:1,063",,0.56%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,146,0.16%,,,,,,,,,,,,,,,,,,,,,
20,.Kendall County,,"42,540",1:255,,0.15%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,167,0.19%,,,,,,,,,,,,,,,,,,,,,
21,.Medina County,,"49,283","1:1,146",,0.18%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,43,0.05%,,,,,,,,,,,,,,,,,,,,,
22,.Wilson County,,"48,480","1:1,426",,0.17%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,34,0.04%,,,,,,,,,,,,,,,,,,,,,
23,.Grayson County,,"128,235",1:648,,0.46%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,198,0.22%,,,,,,,,,,,,,,,,,,,,,
24,.Bowie County,,"93,860",1:445,,0.34%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,211,0.24%,,,,,,,,,,,,,,,,,,,,,
25,.Smith County,,"225,290",1:359,,0.81%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,627,0.70%,,,,,,,,,,,,,,,,,,,,,
26,.Goliad County,,"7,517","1:1,253",,0.03%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,6,0.01%,,,,,,,,,,,,,,,,,,,,,
27,.Victoria County,,"92,467",1:519,,0.33%,AttorneyPopulationDensity2016-17.pdf,6,30,,,,,178,0.20%,,,,,,,,,,,,,,,,,,,,,
0,Falls County,14,"17,273","1:1,234",0.02%,0.06%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,.McLennan County,641,"247,934",1:387,0.72%,0.89%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,.Archer County,4,"8,703","1:2,176",0.00%,0.03%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,.Clay County,6,"10,193","1:1,699",0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,.Wichita County,211,"131,838",1:625,0.24%,0.47%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,.Anderson County,50,"57,734","1:1,155",0.06%,0.21%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,.Andrews County,8,"17,760","1:2,220",0.01%,0.06%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,.Angelina County,130,"87,791",1:675,0.15%,0.32%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,.Bailey County,3,"7,181","1:2,394",0.00%,0.03%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,.Baylor County,5,"3,697",1:739,0.01%,0.01%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,.Bee County,29,"32,750","1:1,129",0.03%,0.12%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,.Blanco County,27,"11,392",1:422,0.03%,0.04%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,.Borden County,1,633,1:633,0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,.Bosque County,22,"18,097",1:823,0.02%,0.06%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,.Brewster County,33,"9,200",1:279,0.04%,0.03%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,.Briscoe County,1,"1,474","1:1,474",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,.Brooks County,3,"7,214","1:2,405",0.00%,0.03%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,.Brown County,46,"38,271",1:832,0.05%,0.14%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,.Burnet County,86,"46,243",1:538,0.10%,0.17%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Calhoun County,17,"21,965","1:1,292",0.02%,0.08%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,.Camp County,11,"12,867","1:1,170",0.01%,0.05%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,.Cass County,21,"30,375","1:1,446",0.02%,0.11%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,.Castro County,6,"7,669","1:,278",0.01%,0.03%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,.Cherokee County,61,"51,668",1:847,0.07%,0.19%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,.Childress County,7,"7,052","1:1,007",0.01%,0.03%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,.Cochran County,1,"2,882","1:2,882",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,.Coke County,1,"3,264","1:3,264",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,.Coleman County,7,"8,420","1:1,203",0.01%,0.03%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,.Collingsworth County,3,"3,016","1:1,005",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,.Colorado County,26,"21,019",1:808,0.03%,0.08%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,.Comanche County,14,"13,484",1:963,0.02%,0.05%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,.Concho County,3,"4,279","1:1,426",0.00%,0.02%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,.Cooke County,51,"39,266",1:770,0.06%,0.14%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,.Cottle County,2,"1,402",1:701,0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,.Crane County,3,"4,830","1:1,610",0.00%,0.02%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,.Crockett County,9,"3,675",1:408,0.01%,0.01%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,.Culberson County,1,"2,198","1:2,198",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,7,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,.Dallam County,,7056,1:784,0.01%,0.03%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,9,,,,,,,,,,,,,,,,,,,,,,
1,.Dawson County,,13111,"1:1,311",0.01%,0.05%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,10,,,,,,,,,,,,,,,,,,,,,,
2,.Deaf Smith County,,18830,"1:1,345",0.02%,0.07%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,14,,,,,,,,,,,,,,,,,,,,,,
3,.DeWitt County,,5215,1:274,0.02%,0.02%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,19,,,,,,,,,,,,,,,,,,,,,,
4,Delta County,,20865,"1:6,955",0.00%,0.07%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,3,,,,,,,,,,,,,,,,,,,,,,
5,.Dickens County,,2184,"1:1,092",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,.Dimmit County,,10794,1:900,0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,12,,,,,,,,,,,,,,,,,,,,,,
7,.Donley County,,3405,1:486,0.01%,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,7,,,,,,,,,,,,,,,,,,,,,,
8,.Duval County,,11428,"1:1,633",0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,7,,,,,,,,,,,,,,,,,,,,,,
9,.Eastland County,,18274,1:630,0.03%,0.07%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,29,,,,,,,,,,,,,,,,,,,,,,
10,.Edwards County,,1911,1:956,0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,2,,,,,,,,,,,,,,,,,,,,,,
11,.Erath County,,41659,1:694,0.07%,0.15%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,60,,,,,,,,,,,,,,,,,,,,,,
12,.Fannin County,,34031,"1:1,418",0.03%,0.12%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,24,,,,,,,,,,,,,,,,,,,,,,
13,.Fayette County,,25149,1:547,0.05%,0.09%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,46,,,,,,,,,,,,,,,,,,,,,,
14,.Fisher County,,3854,"1:1,927",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,2,,,,,,,,,,,,,,,,,,,,,,
15,.Floyd County,,5917,1:986,0.01%,0.02%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,6,,,,,,,,,,,,,,,,,,,,,,
16,.Foard County,,1183,1:592,0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,2,,,,,,,,,,,,,,,,,,,,,,
17,.Franklin County,,10607,"1:1,515",0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,7,,,,,,,,,,,,,,,,,,,,,,
18,.Freestone County,,19624,1:755,0.03%,0.07%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,26,,,,,,,,,,,,,,,,,,,,,,
19,.Frio County,,18956,"1:1,354",0.02%,0.07%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,14,,,,,,,,,,,,,,,,,,,,,,
20,.Gaines County,,20478,"1:2,925",0.01%,0.07%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,7,,,,,,,,,,,,,,,,,,,,,,
21,.Garza County,,6442,"1:2,147",0.00%,0.02%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,3,,,,,,,,,,,,,,,,,,,,,,
22,.Gillespie County,,26521,1:340,0.09%,0.10%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,78,,,,,,,,,,,,,,,,,,,,,,
23,.Glasscock County,,1314,"1:1,314",0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,1,,,,,,,,,,,,,,,,,,,,,,
24,.Gonzales County,,20876,"1:1,044",0.02%,0.07%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,20,,,,,,,,,,,,,,,,,,,,,,
25,.Gray County,,22725,1:988,0.03%,0.08%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,23,,,,,,,,,,,,,,,,,,,,,,
26,.Grimes County,,27671,1:839,0.04%,0.10%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,33,,,,,,,,,,,,,,,,,,,,,,
27,.Hale County,,34263,"1:1,105",0.03%,0.12%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,31,,,,,,,,,,,,,,,,,,,,,,
28,.Hall County,,3138,"1:3,138",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,1,,,,,,,,,,,,,,,,,,,,,,
29,.Hamilton County,,8304,1:415,0.02%,0.03%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,20,,,,,,,,,,,,,,,,,,,,,,
30,.Hansford County,,5538,1:923,0.01%,0.02%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,6,,,,,,,,,,,,,,,,,,,,,,
31,.Hardeman County,,3906,1:977,0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,4,,,,,,,,,,,,,,,,,,,,,,
32,.Harrison County,,66534,1:731,0.10%,0.24%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,91,,,,,,,,,,,,,,,,,,,,,,
33,.Hartley County,,5747,1:--,0.00%,0.02%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,0,,,,,,,,,,,,,,,,,,,,,,
34,.Haskell County,,5681,"1:1,136",0.01%,0.02%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,5,,,,,,,,,,,,,,,,,,,,,,
35,.Hemphill County,,4129,1:826,0.01%,0.01%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,5,,,,,,,,,,,,,,,,,,,,,,
36,.Henderson County,,79901,1:841,0.11%,0.29%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,95,,,,,,,,,,,,,,,,,,,,,,
37,.Hill County,,35077,1:974,0.04%,0.13%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,36,,,,,,,,,,,,,,,,,,,,,,
38,.Hockley County,,23275,"1:1,455",0.02%,0.08%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,16,,,,,,,,,,,,,,,,,,,,,,
39,.Hopkins County,,36400,1:847,0.05%,0.13%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,43,,,,,,,,,,,,,,,,,,,,,,
40,.Houston County,,22754,"1:1,198",0.02%,0.08%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,19,,,,,,,,,,,,,,,,,,,,,,
41,.Howard County,,36708,"1:1,530",0.03%,0.13%,AttorneyPopulationDensity2016-17.pdf,8,43,,,,,24,,,,,,,,,,,,,,,,,,,,,,
0,.Hutchinson County,19,21511,"1:1,132",0.02%,0.08%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,.Jack County,9,8744,1:972,0.01%,0.03%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,.Jackson County,14,14869,"1:1,062",0.02%,0.05%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
