county name,active in state texas attorney_2010,active in state texas attorney_2011,active in state texas attorney_2012,active in state texas attorney_2013,active in state texas attorney_2014,active in state texas attorney_2015,active in state texas attorney_2016,active in state texas attorney_2017,active in state texas attorney_2018,active in state texas attorney_2019,active in state texas attorney_2020,active in state texas attorney_2021,active in state texas attorney_2022,active in state texas attorney_2023,active in state texas attorney_2024,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2023,population_2024,ratio of attorney to population_2010,ratio of attorney to population_2011,ratio of attorney to population_2012,ratio of attorney to population_2013,ratio of attorney to population_2014,ratio of attorney to population_2015,ratio of attorney to population_2016,ratio of attorney to population_2017,ratio of attorney to population_2018,ratio of attorney to population_2019,ratio of attorney to population_2020,ratio of attorney to population_2021,ratio of attorney to population_2023,ratio of attorney to population_2024,attorney as a percentage of total in state attorney_2010,attorney as a percentage of total in state attorney_2011,attorney as a percentage of total in state attorney_2012,attorney as a percentage of total in state attorney_2013,attorney as a percentage of total in state attorney_2014,attorney as a percentage of total in state attorney_2015,attorney as a percentage of total in state attorney_2016,attorney as a percentage of total in state attorney_2017,attorney as a percentage of total in state attorney_2018,attorney as a percentage of total in state attorney_2019,attorney as a percentage of total in state attorney_2020,attorney as a percentage of total in state attorney_2021,attorney as a percentage of total in state attorney_2023,attorney as a percentage of total in state attorney_2024,population as a percentage of total texas population_2010,population as a percentage of total texas population_2011,population as a percentage of total texas population_2012,population as a percentage of total texas population_2013,population as a percentage of total texas population_2014,population as a percentage of total texas population_2015,population as a percentage of total texas population_2016,population as a percentage of total texas population_2017,population as a percentage of total texas population_2018,population as a percentage of total texas population_2019,population as a percentage of total texas population_2020,population as a percentage of total texas population_2021,population as a percentage of total texas population_2023,population as a percentage of total texas population_2024
Bastrop County,89,103,110,109,115,106,106,106,109,109,123,134,137,145,141,74171,75115,74763,75825,78069,80527,,84761,86976,88723,97216,102058,110778,114931,0.620138889,0.547916667,0.513888889,0.525,0.513194444,0.569444444,,0.597222222,0.595833333,0.606944444,0.590277778,0.570833333,0.572222222,0.607638889,0.001,0.0013,0.0013,0.0013,0.0013,0.0012,,0.0012,0.0012,0.0012,0.0013,0.0014,0.0015,0.0015,,0.0029,0.0029,,,0.0029,,0.003,,0.0031,0.0034,0.0035,0.0037,0.0038
Baylor County,6,2,3,3,4,6,5,5,5,5,5,4,5,4,5,3726,3741,3623,3614,3592,3618,,3581,3582,3509,3465,3477,3463,3533,0.472916667,"1:1,871","1:1,208","1:1,205",0.665277778,0.460416667,,0.538888889,0.538888889,0.529166667,0.522916667,0.645138889,0.643055556,0.532638889,0.0001,0,0,0,0,0.0001,,0.0001,0.0001,0.0001,0.0001,0,0,0.0001,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Bee County,41,27,26,27,29,28,29,32,31,31,30,31,29,27,27,31861,32095,32527,32799,32863,32874,,32563,32587,32565,31047,30924,30850,31226,0.58125,"1:1,189","1:1,251","1:1,215","1:1,133","1:1,174",,"1:1,018","1:1,051","1:1,050","1:1,035",0.734722222,"1:1,143","1:1,157",0.0005,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0013,0.0012,,,0.0012,,0.0012,,0.0011,0.0011,0.001,0.001,0.001
Bell County,301,328,335,337,349,343,347,351,350,350,367,383,387,398,395,310235,315196,323037,326843,329140,334941,,347833,355642,362924,370647,379617,393193,399578,"1:1,031",0.709027778,0.711111111,0.715277778,0.696527778,0.720138889,,0.729861111,"1:1,016","1:1,037","1:1,010",0.729861111,0.727777778,0.744444444,0.0035,0.0041,0.0041,0.004,0.004,0.0039,,0.0039,0.0038,0.0038,0.004,0.004,0.0041,0.0041,,0.0123,0.0124,,,0.0122,,0.0123,,0.0126,0.0129,0.0129,0.0131,0.0133
Bexar County,5404,5486,5577,5745,5861,6029,6109,6190,6238,6238,6384,6439,6522,6595,6635,1714773,1756153,1785704,1817610,1855866,1897753,,1958578,1986049,2003554,2009324,2028236,2087679,2127737,0.261805556,0.263888889,0.263888889,0.261111111,0.261805556,0.260416667,,0.261111111,0.2625,0.264583333,0.260416667,0.260416667,0.261805556,0.264583333,0.062,0.068,0.0675,0.0677,0.0678,0.0685,,0.068,0.0684,0.0684,0.07,0.0676,0.0681,0.0685,,0.0684,0.0685,,,0.0691,,0.0692,,0.0698,0.07,0.0687,0.0695,0.0709
Blanco County,13,24,27,29,28,29,27,28,33,33,37,39,41,42,42,10497,10600,10655,10723,10812,11004,,11626,11702,11931,11374,11886,13048,13358,0.602083333,0.348611111,0.315972222,0.298611111,0.309722222,0.304861111,,0.329861111,0.288194444,0.293055556,0.254861111,0.253472222,0.257638889,0.2625,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
Borden County,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,641,626,616,637,652,648,,673,648,654,631,617,572,557,1:--,1:--,1:--,1:--,1:--,1:--,,0.509027778,0.491666667,0.495833333,0.479861111,0.470138889,0.438888889,0.428472222,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,0,,0,0,0,0,0
Bosque County,24,17,22,24,23,22,22,21,23,23,22,23,25,27,27,18212,18306,18125,17855,17780,17891,,18326,18691,18685,18235,18503,18996,19013,0.56875,"1:1,077",0.613888889,0.558333333,0.578472222,0.60625,,0.647916667,0.60625,0.605555556,0.617361111,0.6,0.530555556,0.530555556,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,,0.0002,0.0003,0.0003,0.0002,0.0002,0.0003,0.0003,,0.0007,0.0007,,,0.0007,,0.0006,,0.0007,0.0006,0.0006,0.0006,0.0006
Bowie County,93,215,218,213,214,211,211,212,208,208,205,201,198,194,193,92565,92793,93148,93487,93275,93389,,94012,94324,93245,92893,92581,91687,91992,0.732638889,0.341666667,0.338194444,0.346527778,0.344444444,0.349305556,,0.349305556,0.35625,0.352777778,0.357638889,0.361805556,0.370138889,0.372916667,0.0011,0.0027,0.0026,0.0025,0.0025,0.0024,,0.0023,0.0023,0.0023,0.0022,0.0021,0.002,0.002,,0.0036,0.0036,,,0.0034,,0.0033,,0.0032,0.0032,0.0031,0.0031,0.0031
Brazoria County,557,625,647,649,653,695,722,721,744,744,771,797,819,847,851,313166,319973,324769,330242,338124,346312,,362457,370200,374264,372031,379689,398938,413224,0.431944444,0.397222222,0.390277778,0.395138889,0.401388889,0.3875,,0.390972222,0.3875,0.390972222,0.377083333,0.372222222,0.36875,0.379166667,0.0064,0.0077,0.0078,0.0077,0.0075,0.0079,,0.0079,0.0082,0.0082,0.0084,0.0084,0.0087,0.0088,,0.0125,0.0125,,,0.0126,,0.0128,,0.013,0.013,0.0129,0.0133,0.0138
Brazos County,342,343,349,364,388,409,410,416,421,421,432,436,454,461,477,194851,197632,200665,203164,209152,215037,,222830,226758,229211,233849,237032,244703,249624,0.4375,0.441666667,0.440972222,0.429166667,0.415972222,0.406944444,,0.413888889,0.415972222,0.419444444,0.417361111,0.419444444,0.410416667,0.404861111,0.0039,0.0043,0.0042,0.0043,0.0045,0.0046,,0.0046,0.0046,0.0046,0.0047,0.0046,0.0048,0.0049,,0.0077,0.0077,,,0.0078,,0.0079,,0.008,0.0081,0.008,0.0081,0.0083
Brewster County,18,36,30,30,35,31,33,33,37,37,39,39,39,38,37,9232,9386,9316,9286,9173,9145,,9337,9267,9203,9546,9450,9513,9508,0.397916667,0.222916667,0.257638889,0.256944444,0.223611111,0.246527778,,0.238194444,0.215277778,0.214583333,0.211805556,0.209722222,0.215277778,0.220138889,0.0002,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0004,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Briscoe County,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1637,1651,1561,1537,1536,1505,,1528,1516,1546,1435,1403,1445,1494,0.610416667,"1:1,651","1:1,561","1:1,537","1:1,536","1:1,505",,"1:1,528","1:1,516","1:1,546",0.540277778,0.529166667,"1:1,445","1:1,494",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0,0,0,0
Brooks County,6,3,3,3,3,3,3,2,2,2,1,1,2,2,2,7223,7222,7161,7237,7194,7230,,7235,7114,7093,7076,6994,6848,6740,"1:1,204","1:2,407","1:2,387","1:2,412","1:2,398","1:2,410",,"1:3,618","1:3,557","1:3,547","1:7,076","1:6,994","1:3,424","1:3,370",0.0001,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0003,0.0003,,,0.0003,,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002
Brown County,74,50,51,51,49,47,46,47,49,49,49,51,51,51,51,38106,38186,37825,37749,37653,37896,,38053,37924,37864,38095,38192,38709,38631,0.399305556,0.572222222,0.556944444,0.555555556,0.575,0.601388889,,0.604166667,0.579166667,0.578472222,0.58125,0.561805556,0.56875,0.567361111,0.0009,0.0006,0.0006,0.0006,0.0006,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,,0.0015,0.0015,,,0.0014,,0.0013,,0.0013,0.0013,0.0013,0.0013,0.0013
Burleson County,11,14,13,13,14,14,18,16,17,17,18,19,19,20,17,17187,17251,17291,17169,17253,17460,,18011,18389,18443,17642,18051,19475,20179,"1:1,563","1:1,232","1:1,330","1:1,321","1:1,232","1:1,247",,"1:1,126","1:1,082","1:1,085",0.672222222,0.701388889,0.718055556,0.865972222,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0007,0.0007,,,0.0006,,0.0006,,0.0006,0.0006,0.0006,0.0006,0.0007
Burnet County,55,66,71,73,77,80,86,92,95,95,108,111,115,119,119,42750,43117,43448,43823,44943,45463,,46804,47542,48155,49013,50954,53991,55722,0.58125,0.495138889,0.466666667,0.458333333,0.447222222,0.436111111,,0.395138889,0.388888889,0.39375,0.356944444,0.360416667,0.356944444,0.366666667,0.0006,0.0008,0.0009,0.0009,0.0009,0.0009,,0.001,0.001,0.001,0.0012,0.0012,0.0012,0.0012,,0.0017,0.0017,,,0.0017,,0.0017,,0.0017,0.0017,0.0017,0.0018,0.0019
Caldwell County,31,39,40,40,41,44,46,42,37,37,42,39,42,42,45,38066,38442,38734,39232,39810,40522,,42338,43247,43664,45883,46791,49859,52430,"1:1,228",0.726388889,0.713888889,0.722916667,0.715972222,0.68125,,"1:1,008","1:1,169","1:1,180","1:1,092","1:1,200",0.865972222,0.850694444,0.0004,0.0005,0.0005,0.0005,0.0005,0.0005,,0.0005,0.0004,0.0004,0.0005,0.0004,0.0004,0.0005,,0.0015,0.0015,,,0.0015,,0.0015,,0.0015,0.0016,0.0016,0.0017,0.0017
Calhoun County,18,20,20,18,18,19,17,16,18,18,17,18,19,20,19,21381,21442,21609,21806,21797,21895,,21744,21561,21290,20106,19727,19696,19942,"1:1,188","1:1,072","1:1,080","1:1,211",0.188194444,"1:1,152",,"1:1,359","1:1,198","1:1,183","1:1,183","1:1,086",0.725694444,"1:1,050",0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0008,0.0008,,,0.0008,,0.0008,,0.0007,0.0007,0.0007,0.0007,0.0007
Callahan County,6,5,5,5,4,4,5,8,7,7,7,7,7,6,6,13544,13515,13517,13525,13513,13557,,13946,13994,13943,13708,14115,14374,14615,"1:2,257","1:2,703","1:2,703","1:2,705","1:3,378","1:3,389",,"1:1,743","1:1,999","1:1,992","1:1,958","1:5,016",1.705555556,1.733333333,0.0001,0.0001,0.0001,0.0001,0,0,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0005,0.0005,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Cameron County,492,539,540,546,557,557,579,576,570,570,596,573,585,587,588,406220,414123,415557,417276,420392,422156,,423725,423908,423163,421017,423029,426710,431874,0.615277778,0.575,0.576388889,0.572222222,0.565972222,0.568055556,,0.552777778,0.558333333,0.556944444,0.531944444,0.554166667,0.546527778,0.551388889,0.0057,0.0067,0.0065,0.0064,0.0064,0.0063,,0.0063,0.0062,0.0062,0.0065,0.006,0.0061,0.0061,,0.0161,0.0159,,,0.0154,,0.015,,0.0147,0.0147,0.0143,0.0142,0.0144
Camp County,14,9,8,9,10,10,11,12,12,12,13,12,13,13,12,12401,12407,12449,12413,12621,12682,,12855,13033,13094,12464,12616,13000,13164,0.656944444,"1:1,379","1:1,556","1:1,379",0.223611111,"1:1,268",,"1:1,071","1:1,086","1:1,091",0.707638889,"1:1,051","1:1,000","1:1,097",0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0005,0.0005,,,0.0005,,0.0005,,0.0005,0.0004,0.0004,0.0004,0.0004
Carson County,4,3,3,3,4,5,5,4,4,4,6,7,6,6,5,6182,6259,6157,6010,6013,5969,,6032,6005,5926,5807,5746,5878,5822,"1:1,546","1:2,086","1:2,052","1:2,003","1:1,503","1:1,194",,"1:1,508","1:1,501","1:1,482",0.713888889,0.611805556,0.722222222,0.85,0,0,0,0,0,0.0001,,0,0,0,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Cass County,15,21,19,20,18,22,21,19,20,20,20,20,21,21,22,30464,30256,30166,30331,30261,30313,,30012,30119,30026,28454,28560,28659,28622,"1:2,031","1:1,441","1:1,588","1:1,517",0.514583333,"1:1,378",,"1:1,580","1:1,506","1:1,501","1:1,423","1:1,428","1:1,365","1:1,301",0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0012,0.0012,,,0.0011,,0.0011,,0.001,0.001,0.001,0.001,0.001
Castro County,5,5,5,5,6,5,6,5,5,5,4,5,4,4,3,8062,8116,8164,8030,7781,7656,,7843,7665,7530,7371,7374,7227,7380,"1:1,612","1:1,623","1:1,633","1:1,606",0.247916667,"1:1,531",,"1:1,569","1:1,533","1:1,506","1:1,843","1:1,475","1:1,807","1:2,460",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0,0.0001,0,0,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0002,0.0002,0.0002
Chambers County,18,29,27,25,25,28,32,35,36,36,47,44,47,45,51,35096,35552,36196,36812,38145,38863,,41441,42454,43837,46571,48865,53876,56179,"1:1,950","1:1,226","1:1,341","1:1,472","1:1,526","1:1,388",,"1:1,184","1:1,179","1:1,218",0.729861111,"1:1,111","1:1,197","1:1,102",0.0002,0.0004,0.0003,0.0003,0.0003,0.0003,,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0005,,0.0014,0.0014,,,0.0014,,0.0015,,0.0015,0.0016,0.0017,0.0018,0.0019
Cherokee County,28,58,57,55,60,62,61,56,56,56,57,62,60,60,59,50845,51140,51206,50878,50902,51542,,52240,52592,52646,50412,51097,52217,53223,"1:1,816",0.654166667,0.665277778,0.684027778,0.630555556,0.61875,,0.689583333,0.69375,0.694444444,0.655555556,0.613888889,0.645833333,0.668055556,0.0003,0.0007,0.0007,0.0006,0.0007,0.0007,,0.0006,0.0006,0.0006,0.0006,0.0007,0.0006,0.0006,,0.002,0.002,,,0.0019,,0.0018,,0.0018,0.0018,0.0017,0.0017,0.0018
Childress County,10,8,7,8,7,6,7,7,8,8,8,8,8,8,8,7041,6984,7029,7095,7089,7088,,7067,7291,7306,6664,6736,6788,6679,0.530555556,0.647916667,"1:1,004",0.657638889,"1:1,013","1:1,181",,"1:1,010",0.674305556,0.675694444,0.620138889,0.626388889,0.63125,0.621527778,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0002,,0.0003,0.0002,0.0002,0.0002,0.0002
Clay County,13,5,5,5,5,6,6,7,7,7,7,7,8,8,8,10752,10721,10535,10473,10370,10360,,10421,10456,10471,10218,10263,10738,10730,0.615972222,"1:2,144","1:2,107","1:2,095","1:2,074","1:1,727",,"1:1,489","1:1,494","1:1,496","1:1,460","1:1,466","1:1,342","1:1,341",0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0004,0.0003,0.0004,0.0004
Cochran County,1,1,1,1,1,2,1,1,1,1,1,3,3,2,2,3127,3109,3046,3016,2935,2953,,2851,2836,2853,2547,2516,2509,2583,"1:3,127","1:3,109","1:3,046","1:3,016","1:2,935","1:1,477",,"1:2,851","1:2,836","1:2,853","1:2,547",0.624305556,"1:1,255","1:1,292",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Coke County,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3320,3305,3231,3210,3254,3238,,3306,3370,3387,3285,3321,3352,3396,"1:1,107","1:3,305","1:3,231","1:3,210","1:1,627","1:3,238",,"1:3,306","1:3,370","1:3,387","1:3,285","1:3,321","1:3,352","1:3,396",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Coleman County,12,8,9,9,10,8,7,7,6,6,6,8,9,9,9,8895,8763,8675,8543,8430,8338,,8430,8397,8175,7684,7735,7842,7990,0.55625,"1:1,095",0.711111111,0.700694444,0.627083333,"1:1,042",,"1:1,204","1:1,400","1:1,363","1:1,281",0.713194444,0.646527778,0.658333333,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Collin County,2102,2102,2206,2310,2451,2700,2937,3086,3076,3076,3539,3709,3861,3973,4116,782341,812226,834642,854778,885241,914127,,969603,1005146,1034730,1064465,1109462,1195359,1254658,0.3,0.309722222,0.304166667,0.298611111,0.292361111,0.277083333,,0.259722222,0.26875,0.275,0.250694444,0.249305556,0.250694444,0.253472222,0.0241,0.0261,0.0267,0.0272,0.0283,0.0307,,0.0339,0.0337,0.0337,0.0388,0.039,0.041,0.0425,,0.0316,0.032,,,0.0333,,0.0343,,0.0361,0.0371,0.0376,0.0398,0.0418
Collingsworth County,4,2,2,2,2,2,3,3,3,3,3,4,4,4,4,3057,3092,3036,3099,3017,3044,,2987,2962,2920,2652,2615,2563,2611,0.572222222,"1:1,546","1:1,518","1:1,550","1:1,509","1:1,522",,0.733333333,0.727083333,0.717361111,0.655555556,0.495833333,0.486805556,0.495138889,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Colorado County,24,22,24,23,24,24,26,22,18,18,23,25,26,26,28,20874,20816,20696,20752,20719,20870,,21232,21217,21493,20557,20630,21117,21475,0.645833333,0.698611111,0.640277778,0.668055556,0.640972222,0.645833333,,0.711805556,"1:1,179","1:1,194",0.6625,0.614583333,0.605555556,0.574305556,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,,0.0008,0.0008,,,0.0008,,0.0008,,0.0007,0.0007,0.0007,0.0007,0.0007
Comal County,157,251,261,269,274,274,295,315,341,341,382,412,449,463,510,108472,111963,114384,118480,123694,129048,,141009,148373,156209,161501,174986,193928,201628,0.521527778,0.351388889,0.345833333,0.347222222,0.354861111,0.36875,,0.352777778,0.34375,0.359722222,0.335416667,0.336805556,0.332638889,0.315972222,0.0018,0.0031,0.0032,0.0032,0.0032,0.0031,,0.0035,0.0037,0.0037,0.0042,0.0043,0.0048,0.0053,,0.0044,0.0044,,,0.0047,,0.005,,0.0054,0.0056,0.0059,0.0065,0.0067
