county name,active in state texas attorney__2010,active in state texas attorney__2011,active in state texas attorney__2012,active in state texas attorney__2013,active in state texas attorney__2014,active in state texas attorney__2015,active in state texas attorney__2016,active in state texas attorney__2017,active in state texas attorney__2018,active in state texas attorney__2019,active in state texas attorney__2020,active in state texas attorney__2021,active in state texas attorney__2023,active in state texas attorney__2024,population__2010,population__2011,population__2012,population__2013,population__2014,population__2015,population__2016,population__2017,population__2018,population__2019,population__2020,population__2021,population__2023,population__2024,ratio of attorney to population__2010,ratio of attorney to population__2011,ratio of attorney to population__2012,ratio of attorney to population__2013,ratio of attorney to population__2014,ratio of attorney to population__2015,ratio of attorney to population__2016,ratio of attorney to population__2017,ratio of attorney to population__2018,ratio of attorney to population__2019,ratio of attorney to population__2020,ratio of attorney to population__2021,ratio of attorney to population__2023,ratio of attorney to population__2024,attorney as a percentage of total in state attorney__2010,attorney as a percentage of total in state attorney__2011,attorney as a percentage of total in state attorney__2012,attorney as a percentage of total in state attorney__2013,attorney as a percentage of total in state attorney__2014,attorney as a percentage of total in state attorney__2015,attorney as a percentage of total in state attorney__2016,attorney as a percentage of total in state attorney__2017,attorney as a percentage of total in state attorney__2018,attorney as a percentage of total in state attorney__2019,attorney as a percentage of total in state attorney__2020,attorney as a percentage of total in state attorney__2021,attorney as a percentage of total in state attorney__2023,attorney as a percentage of total in state attorney__2024,population as a percentage of total texas population__2010,population as a percentage of total texas population__2011,population as a percentage of total texas population__2012,population as a percentage of total texas population__2013,population as a percentage of total texas population__2014,population as a percentage of total texas population__2015,population as a percentage of total texas population__2016,population as a percentage of total texas population__2017,population as a percentage of total texas population__2018,population as a percentage of total texas population__2019,population as a percentage of total texas population__2020,population as a percentage of total texas population__2021,population as a percentage of total texas population__2023,population as a percentage of total texas population__2024
Bastrop County,89,103,110,109,115,106,106,106,109,109,123,134,145,141,74171.0,75115.0,74763.0,75825.0,78069.0,80527.0,,84761.0,86976.0,88723.0,97216.0,102058.0,110778.0,114931.0,0.6201388888888889,0.5479166666666667,0.5138888888888888,0.525,0.5131944444444444,0.5694444444444444,,0.5972222222222222,0.5958333333333333,0.6069444444444444,0.5902777777777778,0.5708333333333333,0.5722222222222222,0.6076388888888888,0.001,0.0013,0.0013,0.0013,0.0013,0.0012,,0.0012,0.0012,0.0012,0.0013,0.0014,0.0015,0.0015,,0.0029,0.0029,,,0.0029,,0.003,,0.0031,0.0034,0.0035,0.0037,0.0038
Baylor County,6,2,3,3,4,6,5,5,5,5,5,4,4,5,3726.0,3741.0,3623.0,3614.0,3592.0,3618.0,,3581.0,3582.0,3509.0,3465.0,3477.0,3463.0,3533.0,0.47291666666666665,"1:1,871","1:1,208","1:1,205",0.6652777777777777,0.46041666666666664,,0.5388888888888889,0.5388888888888889,0.5291666666666667,0.5229166666666667,0.6451388888888889,0.6430555555555556,0.5326388888888889,0.0001,0.0,0.0,0.0,0.0,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0001,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Bee County,41,27,26,27,29,28,29,32,31,31,30,31,27,27,31861.0,32095.0,32527.0,32799.0,32863.0,32874.0,,32563.0,32587.0,32565.0,31047.0,30924.0,30850.0,31226.0,0.58125,"1:1,189","1:1,251","1:1,215","1:1,133","1:1,174",,"1:1,018","1:1,051","1:1,050","1:1,035",0.7347222222222223,"1:1,143","1:1,157",0.0005,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0013,0.0012,,,0.0012,,0.0012,,0.0011,0.0011,0.001,0.001,0.001
Bell County,301,328,335,337,349,343,347,351,350,350,367,383,398,395,310235.0,315196.0,323037.0,326843.0,329140.0,334941.0,,347833.0,355642.0,362924.0,370647.0,379617.0,393193.0,399578.0,"1:1,031",0.7090277777777778,0.7111111111111111,0.7152777777777778,0.6965277777777777,0.7201388888888889,,0.7298611111111111,"1:1,016","1:1,037","1:1,010",0.7298611111111111,0.7277777777777777,0.7444444444444445,0.0035,0.0041,0.0041,0.004,0.004,0.0039,,0.0039,0.0038,0.0038,0.004,0.004,0.0041,0.0041,,0.0123,0.0124,,,0.0122,,0.0123,,0.0126,0.0129,0.0129,0.0131,0.0133
Bexar County,5404,5486,5577,5745,5861,6029,6109,6190,6238,6238,6384,6439,6595,6635,1714773.0,1756153.0,1785704.0,1817610.0,1855866.0,1897753.0,,1958578.0,1986049.0,2003554.0,2009324.0,2028236.0,2087679.0,2127737.0,0.26180555555555557,0.2638888888888889,0.2638888888888889,0.2611111111111111,0.26180555555555557,0.2604166666666667,,0.2611111111111111,0.2625,0.26458333333333334,0.2604166666666667,0.2604166666666667,0.26180555555555557,0.26458333333333334,0.062,0.068,0.0675,0.0677,0.0678,0.0685,,0.068,0.0684,0.0684,0.07,0.0676,0.0681,0.0685,,0.0684,0.0685,,,0.0691,,0.0692,,0.0698,0.07,0.0687,0.0695,0.0709
Blanco County,13,24,27,29,28,29,27,28,33,33,37,39,42,42,10497.0,10600.0,10655.0,10723.0,10812.0,11004.0,,11626.0,11702.0,11931.0,11374.0,11886.0,13048.0,13358.0,0.6020833333333333,0.3486111111111111,0.3159722222222222,0.2986111111111111,0.30972222222222223,0.30486111111111114,,0.3298611111111111,0.2881944444444444,0.29305555555555557,0.2548611111111111,0.2534722222222222,0.25763888888888886,0.2625,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
Borden County,0,0,0,0,0,0,1,1,1,1,1,1,1,1,641.0,626.0,616.0,637.0,652.0,648.0,,673.0,648.0,654.0,631.0,617.0,572.0,557.0,1:--,1:--,1:--,1:--,1:--,1:--,,0.5090277777777777,0.49166666666666664,0.49583333333333335,0.4798611111111111,0.4701388888888889,0.4388888888888889,0.4284722222222222,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Bosque County,24,17,22,24,23,22,22,21,23,23,22,23,27,27,18212.0,18306.0,18125.0,17855.0,17780.0,17891.0,,18326.0,18691.0,18685.0,18235.0,18503.0,18996.0,19013.0,0.56875,"1:1,077",0.6138888888888889,0.5583333333333333,0.5784722222222223,0.60625,,0.6479166666666667,0.60625,0.6055555555555555,0.6173611111111111,0.6,0.5305555555555556,0.5305555555555556,0.0003,0.0002,0.0003,0.0003,0.0003,0.0003,,0.0002,0.0003,0.0003,0.0002,0.0002,0.0003,0.0003,,0.0007,0.0007,,,0.0007,,0.0006,,0.0007,0.0006,0.0006,0.0006,0.0006
Bowie County,93,215,218,213,214,211,211,212,208,208,205,201,194,193,92565.0,92793.0,93148.0,93487.0,93275.0,93389.0,,94012.0,94324.0,93245.0,92893.0,92581.0,91687.0,91992.0,0.7326388888888888,0.3416666666666667,0.33819444444444446,0.34652777777777777,0.34444444444444444,0.34930555555555554,,0.34930555555555554,0.35625,0.3527777777777778,0.3576388888888889,0.36180555555555555,0.3701388888888889,0.3729166666666667,0.0011,0.0027,0.0026,0.0025,0.0025,0.0024,,0.0023,0.0023,0.0023,0.0022,0.0021,0.002,0.002,,0.0036,0.0036,,,0.0034,,0.0033,,0.0032,0.0032,0.0031,0.0031,0.0031
Brazoria County,557,625,647,649,653,695,722,721,744,744,771,797,847,851,313166.0,319973.0,324769.0,330242.0,338124.0,346312.0,,362457.0,370200.0,374264.0,372031.0,379689.0,398938.0,413224.0,0.43194444444444446,0.3972222222222222,0.3902777777777778,0.3951388888888889,0.4013888888888889,0.3875,,0.3909722222222222,0.3875,0.3909722222222222,0.3770833333333333,0.37222222222222223,0.36875,0.37916666666666665,0.0064,0.0077,0.0078,0.0077,0.0075,0.0079,,0.0079,0.0082,0.0082,0.0084,0.0084,0.0087,0.0088,,0.0125,0.0125,,,0.0126,,0.0128,,0.013,0.013,0.0129,0.0133,0.0138
Brazos County,342,343,349,364,388,409,410,416,421,421,432,436,461,477,194851.0,197632.0,200665.0,203164.0,209152.0,215037.0,,222830.0,226758.0,229211.0,233849.0,237032.0,244703.0,249624.0,0.4375,0.44166666666666665,0.4409722222222222,0.42916666666666664,0.41597222222222224,0.40694444444444444,,0.41388888888888886,0.41597222222222224,0.41944444444444445,0.4173611111111111,0.41944444444444445,0.41041666666666665,0.4048611111111111,0.0039,0.0043,0.0042,0.0043,0.0045,0.0046,,0.0046,0.0046,0.0046,0.0047,0.0046,0.0048,0.0049,,0.0077,0.0077,,,0.0078,,0.0079,,0.008,0.0081,0.008,0.0081,0.0083
Brewster County,18,36,30,30,35,31,33,33,37,37,39,39,38,37,9232.0,9386.0,9316.0,9286.0,9173.0,9145.0,,9337.0,9267.0,9203.0,9546.0,9450.0,9513.0,9508.0,0.39791666666666664,0.22291666666666668,0.25763888888888886,0.2569444444444444,0.22361111111111112,0.2465277777777778,,0.23819444444444443,0.2152777777777778,0.21458333333333332,0.21180555555555555,0.20972222222222223,0.2152777777777778,0.22013888888888888,0.0002,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0004,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Briscoe County,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1637.0,1651.0,1561.0,1537.0,1536.0,1505.0,,1528.0,1516.0,1546.0,1435.0,1403.0,1445.0,1494.0,0.6104166666666667,"1:1,651","1:1,561","1:1,537","1:1,536","1:1,505",,"1:1,528","1:1,516","1:1,546",0.5402777777777777,0.5291666666666667,"1:1,445","1:1,494",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0,0.0,0.0,0.0
Brooks County,6,3,3,3,3,3,3,2,2,2,1,1,2,2,7223.0,7222.0,7161.0,7237.0,7194.0,7230.0,,7235.0,7114.0,7093.0,7076.0,6994.0,6848.0,6740.0,"1:1,204","1:2,407","1:2,387","1:2,412","1:2,398","1:2,410",,"1:3,618","1:3,557","1:3,547","1:7,076","1:6,994","1:3,424","1:3,370",0.0001,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0003,0.0003,,,0.0003,,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002
Brown County,74,50,51,51,49,47,46,47,49,49,49,51,51,51,38106.0,38186.0,37825.0,37749.0,37653.0,37896.0,,38053.0,37924.0,37864.0,38095.0,38192.0,38709.0,38631.0,0.3993055555555556,0.5722222222222222,0.5569444444444445,0.5555555555555556,0.575,0.6013888888888889,,0.6041666666666666,0.5791666666666667,0.5784722222222223,0.58125,0.5618055555555556,0.56875,0.5673611111111111,0.0009,0.0006,0.0006,0.0006,0.0006,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,,0.0015,0.0015,,,0.0014,,0.0013,,0.0013,0.0013,0.0013,0.0013,0.0013
Burleson County,11,14,13,13,14,14,18,16,17,17,18,19,20,17,17187.0,17251.0,17291.0,17169.0,17253.0,17460.0,,18011.0,18389.0,18443.0,17642.0,18051.0,19475.0,20179.0,"1:1,563","1:1,232","1:1,330","1:1,321","1:1,232","1:1,247",,"1:1,126","1:1,082","1:1,085",0.6722222222222223,0.7013888888888888,0.7180555555555556,0.8659722222222223,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0007,0.0007,,,0.0006,,0.0006,,0.0006,0.0006,0.0006,0.0006,0.0007
Burnet County,55,66,71,73,77,80,86,92,95,95,108,111,119,119,42750.0,43117.0,43448.0,43823.0,44943.0,45463.0,,46804.0,47542.0,48155.0,49013.0,50954.0,53991.0,55722.0,0.58125,0.4951388888888889,0.4666666666666667,0.4583333333333333,0.44722222222222224,0.4361111111111111,,0.3951388888888889,0.3888888888888889,0.39375,0.35694444444444445,0.36041666666666666,0.35694444444444445,0.36666666666666664,0.0006,0.0008,0.0009,0.0009,0.0009,0.0009,,0.001,0.001,0.001,0.0012,0.0012,0.0012,0.0012,,0.0017,0.0017,,,0.0017,,0.0017,,0.0017,0.0017,0.0017,0.0018,0.0019
Caldwell County,31,39,40,40,41,44,46,42,37,37,42,39,42,45,38066.0,38442.0,38734.0,39232.0,39810.0,40522.0,,42338.0,43247.0,43664.0,45883.0,46791.0,49859.0,52430.0,"1:1,228",0.7263888888888889,0.7138888888888889,0.7229166666666667,0.7159722222222222,0.68125,,"1:1,008","1:1,169","1:1,180","1:1,092","1:1,200",0.8659722222222223,0.8506944444444444,0.0004,0.0005,0.0005,0.0005,0.0005,0.0005,,0.0005,0.0004,0.0004,0.0005,0.0004,0.0004,0.0005,,0.0015,0.0015,,,0.0015,,0.0015,,0.0015,0.0016,0.0016,0.0017,0.0017
Calhoun County,18,20,20,18,18,19,17,16,18,18,17,18,20,19,21381.0,21442.0,21609.0,21806.0,21797.0,21895.0,,21744.0,21561.0,21290.0,20106.0,19727.0,19696.0,19942.0,"1:1,188","1:1,072","1:1,080","1:1,211",0.18819444444444444,"1:1,152",,"1:1,359","1:1,198","1:1,183","1:1,183","1:1,086",0.7256944444444444,"1:1,050",0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0008,0.0008,,,0.0008,,0.0008,,0.0007,0.0007,0.0007,0.0007,0.0007
Callahan County,6,5,5,5,4,4,5,8,7,7,7,7,6,6,13544.0,13515.0,13517.0,13525.0,13513.0,13557.0,,13946.0,13994.0,13943.0,13708.0,14115.0,14374.0,14615.0,"1:2,257","1:2,703","1:2,703","1:2,705","1:3,378","1:3,389",,"1:1,743","1:1,999","1:1,992","1:1,958","1:5,016",1.7055555555555555,1.7333333333333334,0.0001,0.0001,0.0001,0.0001,0.0,0.0,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0005,0.0005,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Cameron County,492,539,540,546,557,557,579,576,570,570,596,573,587,588,406220.0,414123.0,415557.0,417276.0,420392.0,422156.0,,423725.0,423908.0,423163.0,421017.0,423029.0,426710.0,431874.0,0.6152777777777778,0.575,0.5763888888888888,0.5722222222222222,0.5659722222222222,0.5680555555555555,,0.5527777777777778,0.5583333333333333,0.5569444444444445,0.5319444444444444,0.5541666666666667,0.5465277777777777,0.5513888888888889,0.0057,0.0067,0.0065,0.0064,0.0064,0.0063,,0.0063,0.0062,0.0062,0.0065,0.006,0.0061,0.0061,,0.0161,0.0159,,,0.0154,,0.015,,0.0147,0.0147,0.0143,0.0142,0.0144
Camp County,14,9,8,9,10,10,11,12,12,12,13,12,13,12,12401.0,12407.0,12449.0,12413.0,12621.0,12682.0,,12855.0,13033.0,13094.0,12464.0,12616.0,13000.0,13164.0,0.6569444444444444,"1:1,379","1:1,556","1:1,379",0.22361111111111112,"1:1,268",,"1:1,071","1:1,086","1:1,091",0.7076388888888889,"1:1,051","1:1,000","1:1,097",0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0005,0.0005,,,0.0005,,0.0005,,0.0005,0.0004,0.0004,0.0004,0.0004
Carson County,4,3,3,3,4,5,5,4,4,4,6,7,6,5,6182.0,6259.0,6157.0,6010.0,6013.0,5969.0,,6032.0,6005.0,5926.0,5807.0,5746.0,5878.0,5822.0,"1:1,546","1:2,086","1:2,052","1:2,003","1:1,503","1:1,194",,"1:1,508","1:1,501","1:1,482",0.7138888888888889,0.6118055555555556,0.7222222222222222,0.85,0.0,0.0,0.0,0.0,0.0,0.0001,,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Cass County,15,21,19,20,18,22,21,19,20,20,20,20,21,22,30464.0,30256.0,30166.0,30331.0,30261.0,30313.0,,30012.0,30119.0,30026.0,28454.0,28560.0,28659.0,28622.0,"1:2,031","1:1,441","1:1,588","1:1,517",0.5145833333333333,"1:1,378",,"1:1,580","1:1,506","1:1,501","1:1,423","1:1,428","1:1,365","1:1,301",0.0002,0.0003,0.0002,0.0002,0.0002,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0012,0.0012,,,0.0011,,0.0011,,0.001,0.001,0.001,0.001,0.001
Castro County,5,5,5,5,6,5,6,5,5,5,4,5,4,3,8062.0,8116.0,8164.0,8030.0,7781.0,7656.0,,7843.0,7665.0,7530.0,7371.0,7374.0,7227.0,7380.0,"1:1,612","1:1,623","1:1,633","1:1,606",0.24791666666666667,"1:1,531",,"1:1,569","1:1,533","1:1,506","1:1,843","1:1,475","1:1,807","1:2,460",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0,0.0001,0.0,0.0,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0002,0.0002,0.0002
Chambers County,18,29,27,25,25,28,32,35,36,36,47,44,45,51,35096.0,35552.0,36196.0,36812.0,38145.0,38863.0,,41441.0,42454.0,43837.0,46571.0,48865.0,53876.0,56179.0,"1:1,950","1:1,226","1:1,341","1:1,472","1:1,526","1:1,388",,"1:1,184","1:1,179","1:1,218",0.7298611111111111,"1:1,111","1:1,197","1:1,102",0.0002,0.0004,0.0003,0.0003,0.0003,0.0003,,0.0004,0.0004,0.0004,0.0005,0.0005,0.0005,0.0005,,0.0014,0.0014,,,0.0014,,0.0015,,0.0015,0.0016,0.0017,0.0018,0.0019
Cherokee County,28,58,57,55,60,62,61,56,56,56,57,62,60,59,50845.0,51140.0,51206.0,50878.0,50902.0,51542.0,,52240.0,52592.0,52646.0,50412.0,51097.0,52217.0,53223.0,"1:1,816",0.6541666666666667,0.6652777777777777,0.6840277777777778,0.6305555555555555,0.61875,,0.6895833333333333,0.69375,0.6944444444444444,0.6555555555555556,0.6138888888888889,0.6458333333333334,0.6680555555555555,0.0003,0.0007,0.0007,0.0006,0.0007,0.0007,,0.0006,0.0006,0.0006,0.0006,0.0007,0.0006,0.0006,,0.002,0.002,,,0.0019,,0.0018,,0.0018,0.0018,0.0017,0.0017,0.0018
Childress County,10,8,7,8,7,6,7,7,8,8,8,8,8,8,7041.0,6984.0,7029.0,7095.0,7089.0,7088.0,,7067.0,7291.0,7306.0,6664.0,6736.0,6788.0,6679.0,0.5305555555555556,0.6479166666666667,"1:1,004",0.6576388888888889,"1:1,013","1:1,181",,"1:1,010",0.6743055555555556,0.6756944444444445,0.6201388888888889,0.6263888888888889,0.63125,0.6215277777777778,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0002,,0.0003,0.0002,0.0002,0.0002,0.0002
Clay County,13,5,5,5,5,6,6,7,7,7,7,7,8,8,10752.0,10721.0,10535.0,10473.0,10370.0,10360.0,,10421.0,10456.0,10471.0,10218.0,10263.0,10738.0,10730.0,0.6159722222222223,"1:2,144","1:2,107","1:2,095","1:2,074","1:1,727",,"1:1,489","1:1,494","1:1,496","1:1,460","1:1,466","1:1,342","1:1,341",0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0004,0.0003,0.0004,0.0004
