FIPS,FIPS_names,FIPS_no_general_names
48341,Moore County,Moore
48343,Morris County,Morris
48345,Motley County,Motley
48347,Nacogdoches County,Nacogdoches
48349,Navarro County,Navarro
48351,Newton County,Newton
48353,Nolan County,Nolan
48355,Nueces County,Nueces
48357,Ochiltree County,Ochiltree
48359,Oldham County,Oldham
48361,Orange County,Orange
48363,Palo Pinto County,Palo Pinto
48365,Panola County,Panola
48367,Parker County,Parker
48369,Parmer County,Parmer
48371,Pecos County,Pecos
48373,Polk County,Polk
48375,Potter County,Potter
48377,Presidio County,Presidio
48379,Rains County,Rains
48381,Randall County,Randall
48383,Reagan County,Reagan
48385,Real County,Real
48387,Red River County,Red River
48389,Reeves County,Reeves
48391,Refugio County,Refugio
48393,Roberts County,Roberts
48395,Robertson County,Robertson
48397,Rockwall County,Rockwall
48399,Runnels County,Runnels
48401,Rusk County,Rusk
48403,Sabine County,Sabine
48405,San Augustine County,San Augustine
48407,San Jacinto County,San Jacinto
48409,San Patricio County,San Patricio
48411,San Saba County,San Saba
48413,Schleicher County,Schleicher
48415,Scurry County,Scurry
48417,Shackelford County,Shackelford
48419,Shelby County,Shelby
48421,Sherman County,Sherman
48423,Smith County,Smith
48425,Somervell County,Somervell
48427,Starr County,Starr
48429,Stephens County,Stephens
48431,Sterling County,Sterling
48433,Stonewall County,Stonewall
48435,Sutton County,Sutton
48437,Swisher County,Swisher
48439,Tarrant County,Tarrant
48441,Taylor County,Taylor
48443,Terrell County,Terrell
48445,Terry County,Terry
48447,Throckmorton County,Throckmorton
48449,Titus County,Titus
48451,Tom Green County,Tom Green
48453,Travis County,Travis
48455,Trinity County,Trinity
48457,Tyler County,Tyler
48459,Upshur County,Upshur
48461,Upton County,Upton
48463,Uvalde County,Uvalde
48465,Val Verde County,Val Verde
48467,Van Zandt County,Van Zandt
48469,Victoria County,Victoria
48471,Walker County,Walker
48473,Waller County,Waller
48475,Ward County,Ward
48477,Washington County,Washington
48479,Webb County,Webb
48481,Wharton County,Wharton
48483,Wheeler County,Wheeler
48485,Wichita County,Wichita
48487,Wilbarger County,Wilbarger
48489,Willacy County,Willacy
48491,Williamson County,Williamson
48493,Wilson County,Wilson
48495,Winkler County,Winkler
48497,Wise County,Wise
48499,Wood County,Wood
48501,Yoakum County,Yoakum
48503,Young County,Young
48505,Zapata County,Zapata
48507,Zavala County,Zavala
